Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,2,Graduate,No,2428,4875,,240.0,1.0,Urban,Y
,No,3+,Not Graduate,No,4973,3296,141.0,120.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,1500,1286,140.0,,1.0,Urban,Y
Male,Yes,1,Graduate,No,1500,0,158.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,8144,0,286.0,360.0,0.0,Rural,N
Male,Yes,3+,Graduate,No,3601,4707,164.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,1674,0,20.0,360.0,1.0,Rural,Y
Male,Yes,3+,Graduate,No,5688,0,163.0,300.0,1.0,Urban,Y
Male,No,0,Graduate,No,3433,1086,143.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,3588,0,143.0,180.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7218,0,157.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,1515,1374,138.0,300.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2284,0,136.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,5462,0,183.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,Yes,7908,0,102.0,360.0,1.0,Semiurban,Y
,Yes,2,Not Graduate,No,8714,2806,74.0,360.0,0.0,Urban,Y
Male,No,0,Graduate,No,3005,920,352.0,180.0,1.0,Rural,N
,No,0,Graduate,No,7812,1054,90.0,360.0,1.0,Urban,Y
Male,,0,Graduate,No,2648,2992,147.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,10479,1145,35.0,360.0,0.0,Rural,Y
Male,No,0,Graduate,No,1599,804,,360.0,1.0,Rural,Y
Male,No,2,Graduate,Yes,8985,2676,75.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,3031,3170,109.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,11040,1132,213.0,360.0,,Semiurban,Y
Female,No,0,Graduate,No,6774,1702,173.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1952,0,180.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,3433,0,20.0,300.0,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,7344,3423,269.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,8158,2612,57.0,360.0,0.0,Urban,N
Male,No,3+,Not Graduate,,4788,2638,247.0,360.0,,Semiurban,Y
Male,Yes,,Graduate,No,5134,2202,212.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,7275,1616,180.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,5395,3241,80.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,1500,3838,151.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,2561,3778,107.0,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,5705,1248,142.0,360.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,8646,4967,,300.0,1.0,Rural,Y
Male,Yes,2,Not Graduate,Yes,9848,2071,20.0,360.0,,Urban,Y
,Yes,0,Graduate,No,7339,3081,219.0,360.0,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,5862,2205,134.0,360.0,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,7246,2118,106.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,3000,0,101.0,120.0,0.0,Semiurban,N
Male,Yes,0,Graduate,No,4540,3253,165.0,360.0,1.0,Urban,Y
,Yes,0,Graduate,No,2528,8613,77.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1500,563,20.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,6001,1677,168.0,360.0,0.0,Semiurban,Y
Male,Yes,2,Graduate,No,5557,384,176.0,300.0,0.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,7063,280,126.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,6638,5361,60.0,180.0,1.0,Semiurban,Y
,Yes,0,Not Graduate,No,5728,0,146.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,6670,315,37.0,300.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,4872,0,68.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,6239,0,87.0,360.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,2822,0,199.0,120.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,6109,3080,115.0,360.0,0.0,Urban,Y
Female,Yes,0,Graduate,No,7005,8499,109.0,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,2991,583,277.0,300.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5155,0,165.0,360.0,1.0,Urban,Y
Male,,1,Graduate,No,3129,3750,164.0,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,3420,0,114.0,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,1625,4748,98.0,180.0,0.0,Semiurban,N
Male,Yes,0,Graduate,No,8797,795,20.0,240.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,8197,0,208.0,360.0,,Rural,Y
Male,Yes,0,Graduate,Yes,6612,1055,171.0,360.0,1.0,Urban,Y
Male,No,0,Not Graduate,No,10917,3394,127.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,4432,931,130.0,360.0,0.0,Semiurban,N
Female,Yes,0,Graduate,Yes,14095,258,192.0,180.0,1.0,Rural,Y
Male,No,3+,Not Graduate,Yes,4317,1003,31.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,5766,0,99.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3807,2493,60.0,360.0,1.0,Rural,Y
Male,No,3+,Not Graduate,No,6117,0,264.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,7507,390,201.0,180.0,0.0,Urban,N
Male,Yes,1,Graduate,No,4658,3398,20.0,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,10330,2258,34.0,360.0,0.0,Semiurban,Y
Female,No,1,Graduate,No,5717,2976,131.0,120.0,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,5811,1337,107.0,300.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2273,4424,47.0,360.0,0.0,Semiurban,Y
Male,Yes,0,Graduate,No,6255,3812,276.0,300.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,4598,2615,162.0,360.0,1.0,Urban,Y
Male,Yes,3+,Graduate,No,3175,3819,173.0,120.0,0.0,Semiurban,N
Male,Yes,3+,Not Graduate,No,2671,3376,92.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,13015,401,191.0,360.0,0.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,4210,0,113.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,1500,2551,120.0,360.0,0.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,2905,2865,183.0,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,4845,4226,,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,6640,0,252.0,360.0,0.0,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,6664,0,153.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,7030,2650,230.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,Yes,3065,1322,65.0,360.0,1.0,Rural,Y
Female,Yes,2,Graduate,No,6021,0,75.0,240.0,1.0,Urban,Y
Female,No,0,Graduate,,2372,2438,59.0,300.0,0.0,Semiurban,Y
Male,Yes,0,Graduate,No,3141,0,158.0,360.0,1.0,Rural,Y
Female,Yes,3+,Graduate,No,2247,0,145.0,360.0,1.0,Rural,N
Male,No,,Graduate,No,1500,4879,107.0,360.0,1.0,Urban,Y
,Yes,0,Graduate,No,8193,6062,69.0,360.0,0.0,Semiurban,Y
Male,No,0,Graduate,No,7066,0,51.0,240.0,0.0,Rural,N
Female,Yes,0,Graduate,No,7930,677,137.0,360.0,0.0,Urban,Y
Male,No,3+,Graduate,No,5118,1607,107.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7330,5953,92.0,360.0,,Rural,Y
Male,Yes,0,Graduate,No,1500,268,248.0,360.0,1.0,Rural,N
Female,Yes,0,Graduate,No,7589,308,134.0,240.0,1.0,Urban,Y
Female,Yes,3+,Graduate,No,5531,5372,229.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,6881,563,103.0,360.0,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,6140,3306,157.0,360.0,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,2039,0,136.0,300.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,1500,1072,21.0,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,2864,0,240.0,180.0,1.0,Semiurban,Y
Male,No,2,Not Graduate,No,6695,0,131.0,240.0,1.0,Urban,Y
Male,No,3+,Graduate,No,7070,3598,192.0,360.0,0.0,Urban,Y
Male,No,0,Graduate,No,1500,1375,87.0,240.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,2057,702,128.0,360.0,0.0,Semiurban,Y
Male,No,0,Graduate,No,2830,0,79.0,,1.0,Urban,Y
Male,Yes,0,Graduate,No,3928,948,227.0,360.0,1.0,Rural,Y
Female,Yes,2,Graduate,No,1500,2253,162.0,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,1500,3957,166.0,360.0,1.0,Semiurban,Y
Male,No,1,Graduate,No,2534,0,235.0,360.0,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,5259,0,221.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,1500,1898,194.0,360.0,1.0,Urban,N
Male,No,0,Graduate,No,4653,1253,40.0,360.0,0.0,Semiurban,Y
Male,Yes,0,Graduate,No,8176,2508,91.0,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,1500,2169,70.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,4381,738,191.0,300.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,8074,183,152.0,300.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,3745,886,43.0,360.0,1.0,Urban,Y
Female,No,0,Not Graduate,No,3279,4372,127.0,360.0,1.0,Semiurban,Y
Male,No,3+,Not Graduate,No,8490,0,35.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,4081,1343,,120.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,8313,1958,24.0,360.0,0.0,Semiurban,Y
Male,Yes,0,Graduate,No,6287,5401,177.0,120.0,0.0,Semiurban,Y
Male,Yes,0,Graduate,No,3971,749,166.0,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,6439,3897,274.0,360.0,0.0,Urban,N
Male,Yes,0,Not Graduate,No,5961,4580,199.0,120.0,1.0,Rural,Y
Male,No,0,Graduate,No,8063,1341,110.0,360.0,1.0,Semiurban,Y
Male,No,3+,Graduate,No,3355,973,197.0,180.0,0.0,Urban,Y
Male,Yes,3+,Not Graduate,No,5124,677,42.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,,4815,860,73.0,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,7112,3636,163.0,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,1924,2078,20.0,360.0,1.0,Urban,Y
Male,,0,Graduate,No,8051,2088,137.0,360.0,1.0,Semiurban,Y
Male,Yes,,Graduate,No,6399,0,69.0,,1.0,Semiurban,N
Male,Yes,0,Graduate,,1500,0,147.0,360.0,1.0,Urban,N
Female,Yes,3+,Not Graduate,,8625,6859,65.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,11702,1055,170.0,360.0,1.0,Urban,Y
Male,No,1,Graduate,No,8006,0,141.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,9281,5078,238.0,360.0,0.0,Semiurban,Y
Male,No,2,Graduate,No,5256,2205,140.0,360.0,1.0,Rural,Y
Female,No,1,Not Graduate,No,1500,2945,86.0,240.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,,1500,1155,123.0,360.0,1.0,Rural,Y
Female,Yes,3+,Not Graduate,No,5765,703,46.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,3224,1076,168.0,240.0,1.0,Rural,Y
Male,No,0,Graduate,,2256,0,181.0,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,4812,1280,313.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6847,2240,96.0,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,1500,6126,121.0,360.0,1.0,Urban,Y
Male,No,0,Not Graduate,No,3653,1715,100.0,360.0,1.0,Rural,Y
Female,Yes,2,Graduate,No,9530,0,155.0,240.0,,Semiurban,Y
Male,No,0,Graduate,No,1774,1265,167.0,300.0,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,,7609,8349,136.0,360.0,1.0,Urban,Y
Female,,0,Graduate,No,3546,3666,216.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,6637,0,97.0,120.0,1.0,Urban,Y
Male,Yes,1,Graduate,Yes,8292,2978,209.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,7224,0,178.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,7727,0,139.0,360.0,1.0,Urban,Y
Female,Yes,1,Graduate,No,1545,629,118.0,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,8341,1729,310.0,360.0,1.0,Rural,Y
Male,No,3+,Graduate,No,2442,0,83.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,5779,0,161.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5775,1526,87.0,360.0,1.0,Rural,Y
Female,Yes,0,Graduate,No,6455,480,265.0,300.0,1.0,Rural,Y
Male,No,0,Graduate,No,6011,2487,202.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,2469,0,93.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,1500,3285,176.0,360.0,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,7617,0,158.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,5558,5607,104.0,300.0,1.0,Rural,Y
Female,No,0,Graduate,No,8448,0,193.0,240.0,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,4866,0,167.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,1500,2543,155.0,360.0,1.0,Semiurban,Y
Male,,0,Graduate,Yes,7898,5661,137.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,3889,2288,170.0,360.0,1.0,Urban,Y
Female,No,1,Graduate,No,6026,2907,156.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3058,1544,144.0,360.0,1.0,Rural,Y
Male,No,3+,Graduate,No,9933,0,95.0,360.0,1.0,Semiurban,Y
Male,,0,Graduate,No,2370,275,259.0,360.0,1.0,Semiurban,Y
Male,No,2,Not Graduate,,3988,0,66.0,360.0,0.0,Urban,Y
Female,No,0,Not Graduate,Yes,5322,0,170.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,1723,2504,118.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,5992,0,263.0,360.0,1.0,Urban,Y
Female,Yes,1,Graduate,No,9836,2299,77.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,3529,0,89.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6185,2241,72.0,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,1500,278,163.0,360.0,1.0,Semiurban,Y
Male,No,2,Graduate,,4883,5017,,180.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,4061,2309,107.0,240.0,0.0,Semiurban,Y
Male,Yes,0,Graduate,,2545,4589,20.0,360.0,0.0,Urban,N
Male,Yes,1,Graduate,No,8244,0,157.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,4021,1640,105.0,120.0,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,4468,0,36.0,360.0,1.0,Urban,N
Male,Yes,0,Graduate,No,3868,466,216.0,360.0,0.0,Rural,Y
,No,0,Graduate,No,1500,845,48.0,360.0,0.0,Semiurban,N
Male,Yes,2,Graduate,No,1604,0,196.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,,7883,0,91.0,360.0,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,1500,0,252.0,360.0,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,2701,0,,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,3801,0,69.0,360.0,1.0,Rural,Y
Male,No,1,Graduate,No,10231,3069,76.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7306,0,182.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3328,0,122.0,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,8914,5977,128.0,360.0,1.0,Urban,Y
Male,,1,Graduate,No,2778,0,229.0,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,8027,2303,88.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1500,3106,146.0,180.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,8220,3156,207.0,360.0,1.0,Urban,Y
Male,Yes,3+,Graduate,No,3782,0,197.0,360.0,1.0,Urban,Y
Female,No,0,Not Graduate,No,1914,922,129.0,360.0,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,4349,0,120.0,180.0,1.0,Rural,Y
Female,Yes,0,Graduate,,5832,7616,20.0,120.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3516,0,66.0,,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,6662,0,162.0,360.0,1.0,Semiurban,Y
Female,Yes,,Graduate,No,3251,0,130.0,360.0,1.0,Semiurban,Y
Female,No,1,Graduate,No,6861,0,145.0,360.0,1.0,Urban,Y
Female,No,0,Not Graduate,No,6327,4881,213.0,360.0,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,4817,7556,57.0,360.0,1.0,Urban,Y
,No,0,Graduate,No,3676,311,123.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,5455,0,153.0,360.0,1.0,Urban,Y
,No,0,Not Graduate,No,6651,0,91.0,240.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,11185,890,240.0,360.0,1.0,Semiurban,Y
Male,Yes,,Not Graduate,No,7818,709,204.0,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,7928,0,160.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,14266,2053,266.0,240.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,6548,2488,35.0,240.0,1.0,Rural,Y
Male,No,0,Graduate,No,6454,2308,139.0,360.0,0.0,Rural,Y
Male,Yes,2,Graduate,No,7112,710,166.0,300.0,1.0,Rural,Y
Male,Yes,1,Graduate,Yes,1973,0,76.0,240.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,3668,3165,161.0,180.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3481,1531,63.0,240.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,6943,3721,188.0,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,Yes,4477,3475,214.0,120.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5415,0,159.0,360.0,0.0,Semiurban,Y
Male,No,0,Graduate,No,8262,0,20.0,120.0,1.0,Urban,Y
Male,Yes,0,Graduate,,7589,0,72.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4515,0,180.0,120.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,2990,3388,141.0,300.0,1.0,Rural,Y
,No,2,Graduate,No,8406,2378,20.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,7322,4248,227.0,300.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1500,2491,150.0,360.0,1.0,Urban,N
Male,No,0,Not Graduate,No,4061,2022,83.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,5497,4499,210.0,360.0,1.0,Semiurban,Y
Female,No,,Not Graduate,No,7336,2674,93.0,180.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,7730,1670,92.0,360.0,1.0,Rural,Y
Female,Yes,0,Graduate,No,5852,5201,165.0,360.0,1.0,Semiurban,Y
Male,No,2,Graduate,No,6756,1788,265.0,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,5192,739,254.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,2978,0,165.0,360.0,0.0,Urban,Y
Male,Yes,1,Graduate,No,4216,3258,172.0,240.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,5057,4593,195.0,360.0,1.0,Rural,Y
Male,No,,Graduate,Yes,4896,1374,52.0,,1.0,Urban,Y
Female,No,1,Graduate,No,1500,4770,185.0,360.0,1.0,Urban,Y
Male,No,2,Graduate,No,3808,0,89.0,300.0,0.0,Urban,N
Male,Yes,3+,Not Graduate,No,5169,1361,162.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,4156,1400,124.0,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,Yes,4260,0,175.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,6464,7460,148.0,360.0,1.0,Rural,Y
